#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-08T03:28:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8d44aaa608	
#INFO	-out.max=1000	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&key:c=17:40:42.6174 -53:40:27.448&pos:17:40:42.6174 -53:40:27.448( 1 arcmin J2000)&HTTPPRM:&-c=17:40:42.6174 -53:40:27.448&-c.u=arcmin&-c.r=1&-c.eq=J2000&-c.geom=r&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c=17:40:42.6174 -53:40:27.448
#-c.eq=J2000
#-c.r=  1
#-c.u=arcmin
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Source
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Dup
#-out=FG
#-out=e_FG
#-out=Gmag
#-out=e_Gmag
#-out=FBP
#-out=e_FBP
#-out=BPmag
#-out=e_BPmag
#-out=FRP
#-out=e_FRP
#-out=RPmag
#-out=e_RPmag
#-out=BP-RP
#-out=RV
#-out=e_RV
#-out=Teff
#-out=AG
#-out=E(BP-RP)
#-out=Rad
#-out=Lum
#
#INFO	-c=265.177572-53.674291,rm=1.	
#Constraint -bmark=POST

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F6.4)	Distance from center (265.17757250000-53.67429111111)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id) (G2)	[ucd=meta.id;meta.main]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Dup	(I1)	[0/1] Source with duplicate sources (duplicated_source) (21)	[ucd=meta.code.status]
#Column	FG	(E11.4)	G-band mean flux (phot_g_mean_flux)	[ucd=phot.flux;stat.mean;em.opt]
#Column	e_FG	(E11.4)	Error on G-band mean flux (phot_g_mean_flux_error)	[ucd=stat.error;phot.flux;stat.mean]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FBP	(E11.4)	? Mean flux in the integrated BP band (phot_bp_mean_flux)	[ucd=phot.flux;stat.mean;em.opt.B]
#Column	e_FBP	(E11.4)	? Error on the integrated BP mean flux (phot_bp_mean_flux_error) (25)	[ucd=stat.error;phot.flux;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	FRP	(E11.4)	? Mean flux in the integrated RP band (phot_rp_mean_flux)	[ucd=phot.flux.density;em.opt.R]
#Column	e_FRP	(E11.4)	? Error on the integrated RP mean flux (phot_rp_mean_flux_error) (28)	[ucd=stat.error;phot.flux;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F7.4)	? BP-RP colour (photBpMeanMag-photRMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
#Column	Teff	(F7.2)	? Stellar effective temperature (estimate from Apsis-Priam) (teff_val)	[ucd=phys.temperature.effective]
#Column	AG	(F7.4)	? Estimate of extinction in the G band from Apsis-Priam (a_g_val)	[ucd=phys.absorption.gal]
#Column	E(BP-RP)	(F7.4)	? Estimate of redenning E(BP-RP) from Apsis-Priam (e_bp_min_rp_val)	[ucd=phot.color.excess]
#Column	Rad	(F6.2)	? Estimate of radius from Apsis-FLAME (radius_val)	[ucd=phys.size.radius]
#Column	Lum	(F9.3)	? Esimate of luminosity from Apsis-FLAME (lum_val)	[ucd=phys.luminosity]
_r	_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
0.3096	265.1798173217301	-53.6692293547482	265.17983831005	 0.1022	-53.66930879225	 0.1117	5921751172301618944	    1.2210	 0.1030	    2.888	 0.202	  -18.450	 0.208	0	 4.0625e+04	 7.9049e+01	14.1664	0.0021	 2.2331e+04	 2.8337e+02	14.4791	0.0138	 3.5391e+04	 2.7661e+02	13.3897	0.0085	 1.0894	       	     	5000.00	       	       	  1.45	    1.188
0.3096	265.1811589066861	-53.6695238426109	265.18120283857	 0.3166	-53.66960049873	 0.3146	5921751172295963776	   -2.7899	 0.3171	    6.045	 0.615	  -17.804	 0.591	0	 8.0597e+03	 3.3201e+01	15.9226	0.0045	 6.3330e+03	 1.2057e+01	15.8474	0.0021	 1.0564e+04	 8.6351e+01	14.7024	0.0089	 1.1450	       	     	5095.63	       	       	      	
0.3109	265.1716824293057	-53.6703737160665	265.17170007509	 0.0306	-53.67045034204	 0.0265	5921751172281817344	    0.5148	 0.0262	    2.428	 0.058	  -17.797	 0.047	0	 8.6732e+04	 3.2051e+01	13.3429	0.0004	 4.2546e+04	 3.1166e+02	13.7792	0.0080	 7.3153e+04	 2.7190e+02	12.6013	0.0040	 1.1779	       	     	5016.00	       	       	  4.99	   14.224
0.3112	265.1743427399200	-53.6791129187700	265.17434273992	 0.4988	-53.67911291877	 0.6019	5921745296766582656	          	       	         	      	         	      	0	 5.9168e+03	 5.3965e+01	16.2582	0.0099	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3115	265.1764578337200	-53.6691423914000	265.17645783372	24.2563	-53.66914239140	15.7814	5921751172296003584	          	       	         	      	         	      	0	 2.4190e+03	 1.0590e+02	17.2293	0.0475	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3116	265.1853274376800	-53.6767152181800	265.18532743768	 3.9168	-53.67671521818	 2.0212	5921751172301615488	          	       	         	      	         	      	1	 4.5400e+03	 5.1990e+01	16.5457	0.0124	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3123	265.1767570067900	-53.6794728398100	265.17675700679	10.9229	-53.67947283981	 3.6019	5921745296786369664	          	       	         	      	         	      	1	 3.8640e+03	 3.2053e+01	16.7208	0.0090	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3126	265.1689218380000	-53.6752328142900	265.16892183800	 0.2167	-53.67523281429	 0.2235	5921745296786392576	          	       	         	      	         	      	0	 4.3097e+03	 5.9769e+01	16.6022	0.0151	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3130	265.1821461584762	-53.6697613950876	265.18217007587	 0.0654	-53.66984129759	 0.0811	5921751172295964160	    0.2491	 0.0616	    3.291	 0.148	  -18.558	 0.164	0	 2.3118e+04	 1.1518e+01	14.7785	0.0005	 1.3098e+04	 2.2001e+02	15.0584	0.0182	 2.2208e+04	 1.7212e+02	13.8956	0.0084	 1.1627	       	     	5076.00	       	       	      	
0.3133	265.1851851462500	-53.6769236004200	265.18518514625	 0.4287	-53.67692360042	 0.1630	5921745296766509696	          	       	         	      	         	      	0	 2.4914e+03	 1.1286e+01	17.1972	0.0049	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3151	265.1770128822853	-53.6689482510783	265.17707716222	 0.4472	-53.66904833804	 0.3733	5921751172296004224	   -2.3606	 0.4210	    8.845	 0.907	  -23.246	 0.880	0	 1.8527e+03	 1.5861e+01	17.5189	0.0093	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3155	265.1861152777300	-53.6757212411100	265.18611527773	 1.4212	-53.67572124111	 1.4828	5921751172301638528	          	       	         	      	         	      	0	 1.5838e+03	 7.9407e+00	17.6891	0.0054	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3159	265.1776541935247	-53.6689505599833	265.17768253629	 0.2010	-53.66902622582	 0.1929	5921751172302753408	    0.3391	 0.2054	    3.900	 0.400	  -17.574	 0.346	0	 5.3478e+03	 3.6029e+01	16.3679	0.0073	 5.6264e+03	 2.5511e+02	15.9758	0.0492	 6.9726e+03	 1.4177e+02	15.1534	0.0221	 0.8224	       	     	5095.63	       	       	      	
0.3167	265.1838741256134	-53.6779315515384	265.18389950870	 0.0545	-53.67800869418	 0.0619	5921745296766500224	    0.3732	 0.0617	    3.492	 0.105	  -17.917	 0.104	0	 1.4166e+04	 2.7257e+01	15.3103	0.0021	 1.1510e+04	 1.4298e+02	15.1987	0.0135	 1.3270e+04	 1.3361e+02	14.4547	0.0109	 0.7440	       	     	5215.18	       	       	      	
0.3176	265.1752403829200	-53.6691807309000	265.17524038292	 1.4309	-53.66918073090	 1.1066	5921751172296003840	          	       	         	      	         	      	0	 3.8525e+03	 4.2484e+01	16.7240	0.0120	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3181	265.1698887998800	-53.6770112289900	265.16988879988	12.7564	-53.67701122899	 4.9935	5921745296786398976	          	       	         	      	         	      	1	 4.2522e+03	 2.8304e+02	16.6168	0.0723	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3182	265.1826319285787	-53.6785802242702	265.18261689621	 0.3964	-53.67867344816	 0.4006	5921745292477488512	    1.6454	 0.5175	   -2.068	 0.685	  -21.652	 0.720	0	 5.1900e+04	 5.9751e+01	13.9004	0.0013	 2.8807e+04	 2.1792e+02	14.2026	0.0082	 4.5966e+04	 3.9280e+02	13.1058	0.0093	 1.0968	       	     	5016.10	       	       	      	
0.3189	265.1863303379600	-53.6731390758900	265.18633033796	 1.0808	-53.67313907589	 1.1571	5921751172296008832	          	       	         	      	         	      	0	 1.8733e+03	 1.5278e+01	17.5068	0.0089	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3214	265.1736583669500	-53.6791207319900	265.17365836695	 3.6904	-53.67912073199	 3.1793	5921745296786398592	          	       	         	      	         	      	1	 4.8151e+03	 8.0962e+01	16.4819	0.0183	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3228	265.1689040922700	-53.6758978148100	265.16890409227	 0.5171	-53.67589781481	 0.5394	5921745296786380288	          	       	         	      	         	      	0	 6.5747e+03	 4.0690e+01	16.1437	0.0067	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3238	265.1794255298819	-53.6794894200651	265.17945584969	 0.1969	-53.67957173368	 0.1752	5921745296766495488	    0.0183	 0.2461	    4.171	 0.669	  -19.118	 0.516	0	 2.5237e+03	 1.0709e+01	17.1833	0.0046	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3246	265.1703840058500	-53.6776290039300	265.17038400585	 0.1921	-53.67762900393	 0.2439	5921745296766591744	          	       	         	      	         	      	0	 2.7635e+03	 1.3348e+01	17.0847	0.0052	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3252	265.1820050350767	-53.6789267313411	265.18200790637	 0.2400	-53.67903204523	 0.2206	5921745296766514432	   -2.8531	 0.2874	    0.395	 0.695	  -24.460	 0.660	0	 4.6754e+03	 2.1929e+01	16.5138	0.0051	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3256	265.1694137097100	-53.6767595794000	265.16941370971	 1.3153	-53.67675957940	 1.4496	5921745296766590848	          	       	         	      	         	      	0	 3.7358e+03	 5.2832e+01	16.7574	0.0154	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3289	265.1811289351900	-53.6793513405700	265.18112893519	 0.4236	-53.67935134057	 0.4063	5921745296766495872	          	       	         	      	         	      	0	 3.6113e+03	 1.7633e+01	16.7942	0.0053	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3294	265.1714475872819	-53.6783460854237	265.17146049702	 0.2573	-53.67841804848	 0.2653	5921745296766606336	    1.4286	 0.2994	    1.776	 0.472	  -16.714	 0.460	0	 7.8051e+03	 6.8857e+01	15.9574	0.0096	 7.5254e+03	 1.9973e+02	15.6601	0.0288	 8.4192e+03	 2.0281e+02	14.9487	0.0262	 0.7113	       	     	5095.63	       	       	      	
0.3301	265.1759670209537	-53.6688134242477	265.17596351809	 0.1813	-53.66887199272	 0.1704	5921751172296004096	   -1.7882	 0.1941	   -0.482	 0.404	  -13.603	 0.380	0	 4.2560e+03	 1.8477e+01	16.6159	0.0047	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3310	265.1774727113949	-53.6797107848269	265.17751839125	 0.3667	-53.67980773303	 0.3594	5921745296787506304	    1.2514	 0.3519	    6.284	 0.629	  -22.517	 0.599	0	 1.4448e+04	 7.7305e+01	15.2888	0.0058	 1.0292e+04	 2.1009e+02	15.3201	0.0222	 1.4768e+04	 2.7973e+02	14.3387	0.0206	 0.9815	       	     	5143.45	       	       	      	
0.3313	265.1728959389522	-53.6789968595230	265.17290493084	 0.4664	-53.67907069119	 0.3688	5921745296766582016	    0.3250	 0.4288	    1.237	 0.743	  -17.148	 0.616	1	 4.4062e+03	 2.1201e+01	16.5782	0.0052	 7.6807e+03	 4.9495e+02	15.6379	0.0700	 8.4049e+03	 6.5142e+02	14.9506	0.0842	 0.6873	       	     	5095.63	       	       	      	
0.3339	265.1715630338287	-53.6699316047381	265.17159437875	 0.2073	-53.66999757877	 0.2055	5921751172301673728	    0.3738	 0.2308	    4.313	 0.326	  -15.323	 0.369	0	 2.5753e+03	 2.3614e+01	17.1613	0.0100	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3349	265.1843770381800	-53.6781515195100	265.18437703818	 2.1259	-53.67815151951	 3.9843	5921745296766500480	          	       	         	      	         	      	0	 2.9027e+03	 3.3358e+01	17.0313	0.0125	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3360	265.1680960872136	-53.6740303495846	265.16812396096	 0.0615	-53.67410449556	 0.0656	5921745296786385920	    0.3352	 0.0730	    3.835	 0.103	  -17.221	 0.109	0	 2.4052e+04	 2.1508e+01	14.7355	0.0010	 1.2763e+04	 1.4126e+02	15.0865	0.0120	 2.0802e+04	 2.9106e+02	13.9666	0.0152	 1.1199	       	     	4993.50	       	       	      	
0.3389	265.1687861591299	-53.6719759251471	265.16881737475	 0.3534	-53.67205333904	 0.3492	5921745296766653312	    0.2796	 0.3028	    4.295	 0.655	  -17.980	 0.627	0	 2.9717e+03	 1.4158e+01	17.0058	0.0052	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3397	265.1705667472772	-53.6703544902392	265.17059343397	 0.1047	-53.67042375802	 0.0920	5921745296766657536	    0.1847	 0.1030	    3.672	 0.244	  -16.088	 0.210	0	 4.2927e+03	 9.0854e+00	16.6065	0.0023	 6.5630e+03	 7.3365e+02	15.8086	0.1214	 9.1212e+03	 2.6338e+03	14.8618	0.3135	 0.9468	       	     	5095.63	       	       	      	
0.3409	265.1860478922000	-53.6769515719500	265.18604789220	 1.4034	-53.67695157195	 1.5091	5921751167992753536	          	       	         	      	         	      	0	 5.3951e+03	 6.1474e+01	16.3584	0.0124	 6.4576e+03	 5.7829e+02	15.8262	0.0972	 8.7627e+03	 2.1683e+01	14.9053	0.0027	 0.9209	       	     	5095.63	       	       	      	
0.3423	265.1688626187253	-53.6766807338917	265.16888832815	 0.0842	-53.67675971070	 0.0800	5921745296766590464	    0.1154	 0.0886	    3.537	 0.159	  -18.343	 0.138	0	 7.3747e+03	 2.4017e+01	16.0190	0.0035	 8.4306e+03	 3.3575e+02	15.5367	0.0432	 1.0481e+04	 2.2669e+02	14.7109	0.0235	 0.8259	       	     	5095.63	       	       	      	
0.3434	265.1871930536098	-53.6738430249181	265.18721456754	 0.1008	-53.67391978867	 0.0931	5921751172296011776	    0.2382	 0.1086	    2.960	 0.220	  -17.829	 0.163	0	 6.8535e+03	 9.7477e+00	16.0986	0.0015	 4.6812e+03	 1.0037e+02	16.1755	0.0233	 6.3842e+03	 1.2547e+02	15.2492	0.0213	 0.9263	       	     	5286.90	       	       	      	
0.3437	265.1691367395310	-53.6713863639811	265.16915998921	 0.2226	-53.67146748065	 0.2389	5921745296786371712	    1.4789	 0.2740	    3.199	 0.417	  -18.840	 0.464	0	 1.2219e+04	 6.5901e+01	15.4707	0.0059	 8.9000e+03	 1.9901e+02	15.4779	0.0243	 1.2680e+04	 2.6436e+02	14.5042	0.0226	 0.9738	       	     	5143.45	       	       	      	
0.3448	265.1838717426730	-53.6785696999882	265.18389813654	 0.0512	-53.67864901263	 0.1045	5921745296766508032	    0.5256	 0.1061	    3.631	 0.101	  -18.421	 0.150	0	 1.8735e+04	 1.2481e+01	15.0067	0.0007	 1.1634e+04	 2.4863e+02	15.1871	0.0232	 1.8892e+04	 4.1363e+02	14.0712	0.0238	 1.1159	       	     	5143.45	       	       	      	
0.3464	265.1711373686500	-53.6786275631500	265.17113736865	 0.8987	-53.67862756315	 0.8513	5921745296766606208	          	       	         	      	         	      	0	 2.6699e+03	 8.6905e+00	17.1221	0.0035	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3466	265.1679734944699	-53.6753134726100	265.16797349447	11.4948	-53.67531347261	15.1981	5921745292477468928	          	       	         	      	         	      	0	 4.5169e+03	 4.8112e+01	16.5513	0.0116	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3475	265.1680049047800	-53.6731004977100	265.16800490478	 0.6997	-53.67310049771	 0.6715	5921745296766652288	          	       	         	      	         	      	0	 4.3191e+03	 3.2452e+01	16.5999	0.0082	 5.1866e+03	 5.9100e+01	16.0642	0.0124	 6.9876e+03	 5.5851e+02	15.1511	0.0868	 0.9131	       	     	5095.63	       	       	      	
0.3479	265.1792559703845	-53.6685013727557	265.17929197258	 0.2235	-53.66858211915	 0.2098	5921751172301637632	   -0.0922	 0.2362	    4.954	 0.442	  -18.754	 0.458	0	 6.6570e+03	 2.5005e+01	16.1302	0.0041	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3480	265.1683864638719	-53.6762660990028	265.16841694127	 0.1207	-53.67634687984	 0.1131	5921745296766628608	    0.5934	 0.1403	    4.193	 0.200	  -18.762	 0.203	0	 5.1422e+03	 2.3556e+01	16.4105	0.0050	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3483	265.1817958333900	-53.6690536701700	265.18179583339	 2.0641	-53.66905367017	 1.1611	5921751172295964672	          	       	         	      	         	      	0	 4.3612e+03	 7.5135e+01	16.5893	0.0187	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3491	265.1766217901971	-53.6684284739089	265.17662288029	 0.3889	-53.66850059627	 0.3209	5921751172296002944	    1.8784	 0.3117	    0.150	 0.614	  -16.751	 0.773	0	 3.1153e+03	 1.4497e+01	16.9546	0.0051	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3495	265.1820986007600	-53.6691202294500	265.18209860076	25.4505	-53.66912022945	24.3771	5921751172295962624	          	       	         	      	         	      	0	 5.1100e+03	 2.9307e+01	16.4173	0.0062	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3510	265.1866617420056	-53.6764663041653	265.18668635373	 0.0535	-53.67654370514	 0.0535	5921751172281769600	    0.3057	 0.0616	    3.386	 0.116	  -17.977	 0.108	0	 7.8598e+03	 9.4417e+00	15.9498	0.0013	 4.7853e+03	 2.6740e+01	16.1516	0.0061	 6.3275e+03	 4.7508e+01	15.2588	0.0082	 0.8928	       	     	5497.00	       	       	      	
0.3523	265.1828495353179	-53.6791796248959	265.18287074667	 0.1016	-53.67925454587	 0.0952	5921745296766508160	    0.6899	 0.1034	    2.918	 0.181	  -17.401	 0.173	0	 4.8594e+03	 1.2994e+01	16.4719	0.0029	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3525	265.1859949877277	-53.6711721409505	265.18603350685	 0.7658	-53.67122757929	 0.5102	5921751172295980928	    0.2778	 0.8048	    5.300	 0.957	  -12.876	 0.865	0	 4.8458e+03	 2.3388e+01	16.4750	0.0052	 5.3177e+03	 1.9133e+02	16.0371	0.0391	 6.2523e+03	 9.3446e+01	15.2718	0.0162	 0.7652	       	     	5095.63	       	       	      	
0.3527	265.1786388028600	-53.6684461452800	265.17863880286	 8.6634	-53.66844614528	11.4183	5921751172301633920	          	       	         	      	         	      	0	 4.0079e+03	 4.1594e+01	16.6811	0.0113	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3531	265.1696087876900	-53.6707724579500	265.16960878769	 0.7469	-53.67077245795	 0.5812	5921745296786413184	          	       	         	      	         	      	0	 4.9019e+03	 3.9146e+01	16.4625	0.0087	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3533	265.1700951343400	-53.6781720875600	265.17009513434	 0.8500	-53.67817208756	 0.8764	5921745296766605440	          	       	         	      	         	      	0	 7.3667e+03	 7.3818e+01	16.0202	0.0109	 1.2414e+04	 4.0352e+02	15.1166	0.0353	 1.3749e+04	 1.3017e+03	14.4162	0.1028	 0.7003	       	     	5095.63	       	       	      	
0.3538	265.1752771037500	-53.6685540462600	265.17527710375	 0.9223	-53.66855404626	 0.6563	5921751172296014336	          	       	         	      	         	      	0	 2.0742e+03	 5.1112e+01	17.3962	0.0268	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3541	265.1692269273797	-53.6774556655267	265.16922617142	 0.3026	-53.67751265386	 0.2622	5921745296766591360	    0.8803	 0.3445	   -0.104	 0.555	  -13.236	 0.506	0	 2.9028e+03	 3.5471e+01	17.0313	0.0133	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3550	265.1678392336514	-53.6755940657039	265.16785910579	 0.0749	-53.67566974015	 0.0814	5921745296766553600	    0.2585	 0.0879	    2.734	 0.137	  -17.576	 0.149	0	 6.3550e+04	 1.5994e+02	13.6806	0.0027	 3.7612e+04	 6.6705e+02	13.9131	0.0193	 6.4330e+04	 1.0931e+03	12.7409	0.0184	 1.1722	       	     	5076.00	       	       	      	
0.3563	265.1863840942500	-53.6714608635200	265.18638409425	 0.3462	-53.67146086352	 0.2575	5921751172295980800	          	       	         	      	         	      	0	 3.4082e+03	 3.3137e+01	16.8570	0.0106	 4.3594e+03	 4.4019e+02	16.2528	0.1096	 5.5689e+03	 6.0456e+02	15.3975	0.1179	 0.8553	       	     	5095.63	       	       	      	
0.3568	265.1811104365400	-53.6687265714500	265.18111043654	 3.2271	-53.66872657145	 1.2138	5921751172302746752	          	       	         	      	         	      	0	 3.5683e+03	 3.2635e+01	16.8072	0.0099	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3580	265.1695834010446	-53.6778743884656	265.16961150994	 0.2099	-53.67794616208	 0.1942	5921745292477471360	    0.4833	 0.2575	    3.867	 0.357	  -16.670	 0.395	0	 8.2285e+03	 2.9363e+01	15.9001	0.0039	 8.6096e+03	 7.6402e+02	15.5139	0.0964	 1.0058e+04	 7.3465e+02	14.7556	0.0793	 0.7583	       	     	5095.63	       	       	      	
0.3604	265.1860384457083	-53.6774709287075	265.18609082501	 0.2781	-53.67755122733	 0.2677	5921745296766494208	    0.1973	 0.4665	    7.206	 0.713	  -18.650	 0.917	0	 3.1560e+03	 3.7210e+01	16.9405	0.0128	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3607	265.1874045672900	-53.6757782321300	265.18740456729	 1.3213	-53.67577823213	 1.3291	5921751167992755712	          	       	         	      	         	      	0	 8.9269e+03	 1.2983e+02	15.8116	0.0158	 7.1615e+03	 1.6566e+02	15.7139	0.0251	 9.2241e+03	 9.8969e+01	14.8496	0.0116	 0.8643	       	     	5095.63	       	       	      	
0.3608	265.1854359033800	-53.6780945819400	265.18543590338	16.1047	-53.67809458194	18.0333	5921745296766500736	          	       	         	      	         	      	0	 2.4695e+03	 1.4598e+01	17.2069	0.0064	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3612	265.1678610411700	-53.6725157115700	265.16786104117	 0.8069	-53.67251571157	 0.7552	5921745296766652032	          	       	         	      	         	      	0	 2.7728e+03	 5.3533e+01	17.0810	0.0210	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
0.3625	265.1834044901140	-53.6692669919909	265.18342862525	 0.0994	-53.66934427241	 0.2539	5921751167992750464	    0.4903	 0.1591	    3.321	 0.218	  -17.949	 0.378	0	 5.0474e+04	 2.1038e+01	13.9307	0.0005	 2.4295e+04	 1.8546e+02	14.3876	0.0083	 4.3274e+04	 2.5179e+02	13.1713	0.0063	 1.2163	       	     	4833.00	       	       	      	
0.3635	265.1771052262349	-53.6802661294416	265.17712561670	 0.0763	-53.68034422361	 0.0688	5921745296766524672	    0.3247	 0.0906	    2.805	 0.121	  -18.138	 0.123	0	 5.2638e+03	 7.9806e+00	16.3851	0.0016	           	           	       	      	           	           	       	      	       	       	     	       	       	       	      	
